feature,class_label
[0.00026721 0.00038042 0.00037698 ... 0.00014127 0.00016462 0.00016234],go
"[-1.1267942e-04 -1.8712482e-04 -2.1266221e-04 ...  1.3686109e-05
  2.1466585e-05 -3.2322107e-05]",go
"[2.3135117e-06 4.9071936e-05 7.1877017e-05 ... 4.4503686e-06 9.3485698e-07
 2.1604308e-05]",go
"[-2.02789051e-05  4.35599723e-05  6.83734906e-05 ... -1.69351570e-05
 -1.36661392e-05 -1.05287045e-05]",go
"[ 1.3289772e-06  2.4957208e-05  2.3955687e-05 ... -7.9890533e-06
  1.7140333e-06 -3.4344444e-06]",go
"[-2.2894261e-05 -5.6427361e-06 -1.5725880e-05 ...  8.2357419e-06
  2.7013493e-05 -1.6186408e-05]",go
"[-0.00037122 -0.0017838  -0.00216869 ... -0.00021798 -0.00016564
 -0.00043386]",go
[0.00092535 0.00114325 0.00072674 ... 0.00039128 0.00047086 0.00016407],go
"[-0.00399169 -0.00535303 -0.00477567 ... -0.00131939 -0.00120372
 -0.00139701]",go
"[-0.00306447 -0.00490561 -0.00594578 ...  0.00367237  0.00420041
  0.00406206]",go
"[-0.00089757 -0.00137496 -0.00155858 ... -0.00075622  0.00110888
  0.0006634 ]",go
"[-0.00049572 -0.00060961 -0.00022032 ...  0.00069895  0.00048926
  0.00067892]",go
"[ 0.00099492  0.0020743   0.00199127 ... -0.00249085 -0.00241093
 -0.00217466]",go
[0.00480277 0.00642819 0.00563638 ... 0.00063062 0.00049862 0.00037922],go
"[-1.6304290e-04 -4.7668436e-06  5.7399028e-04 ... -3.8177706e-04
 -5.0874663e-05  2.9234329e-04]",go
"[7.1234717e-05 4.1436026e-04 7.4570265e-04 ... 2.1410962e-03 2.2500854e-03
 2.4416670e-03]",go
"[-0.00013864 -0.00084968 -0.00118863 ... -0.00067047 -0.0005482
 -0.00024554]",go
"[ 9.4221423e-06  6.6302469e-05 -5.1163326e-05 ... -3.5035409e-02
 -2.5052760e-02 -1.5808882e-02]",go
"[ 2.4508205e-04  4.5157189e-04  4.3773389e-04 ... -9.0384361e-05
 -1.1223054e-04 -3.7722693e-05]",go
"[-0.00801619 -0.01259426 -0.0132337  ...  0.00450046  0.00346097
  0.00226697]",go
[0.00046314 0.00183704 0.0039063  ... 0.00127712 0.00069675 0.00036502],go
"[ 7.8067176e-05  4.2268584e-06 -7.5373624e-05 ...  5.2623270e-04
  5.1572500e-04  5.7461264e-04]",go
"[ 6.0475746e-04  6.7145308e-04  4.9074157e-04 ... -8.4039959e-05
  9.4803750e-07 -6.4329710e-05]",go
"[ 3.5855669e-04  6.3740183e-04  2.3791293e-04 ...  2.2161783e-04
 -7.5493721e-05 -1.6424421e-04]",go
"[-5.7804136e-06  7.3378650e-04  6.0408312e-04 ...  1.5386810e-04
  2.5474314e-05 -2.9623634e-04]",go
[0.01083415 0.02097939 0.0195112  ... 0.019129   0.01868589 0.01785796],go
"[-0.00280711 -0.00424389 -0.00416435 ...  0.00289144  0.00277736
  0.00287235]",go
"[ 6.7958987e-05 -1.0564075e-03 -1.1696753e-03 ...  9.5108192e-04
  5.2341854e-04  4.5811082e-04]",go
"[-7.0548376e-05  2.4399588e-04  7.2752545e-04 ... -1.4460852e-04
  4.4313900e-05  6.5024004e-05]",go
"[-5.4781809e-05 -3.0314887e-04 -3.0520483e-04 ...  3.1420629e-04
  2.8094006e-04  2.4086355e-04]",go
"[-3.9474253e-05 -1.6185132e-04 -1.5148110e-04 ... -1.0351841e-04
 -1.5733441e-04 -2.0937381e-04]",go
"[-0.00118334 -0.00130221 -0.00236848 ... -0.00039025 -0.00301497
 -0.00265268]",left
[0.00366038 0.00595978 0.00570696 ... 0.00655699 0.00599432 0.00575417],left
"[ 0.00028486  0.00057438  0.00023897 ...  0.00054824 -0.00041909
 -0.00063517]",left
"[-1.3208354e-11 -4.9811828e-11  7.4662006e-11 ...  2.0048923e-05
  1.2054680e-05  2.0989301e-05]",left
"[-0.00330772 -0.00341396 -0.00175757 ... -0.00971597 -0.00829525
 -0.00570113]",left
[0.01702092 0.02412789 0.02653216 ... 0.00749232 0.00837048 0.00867702],left
"[ 0.02363494  0.02665946  0.01739778 ... -0.00991538 -0.0058987
 -0.00896672]",left
"[-5.2124844e-05  3.0924040e-03  5.3199767e-03 ... -1.0976396e-03
 -9.3553273e-04 -2.7975789e-04]",left
"[ 1.7048111e-06  2.1728042e-06 -6.7226347e-06 ... -1.8776895e-05
 -3.7654110e-05 -3.0237718e-05]",left
"[ 5.4033126e-07 -2.2497807e-07 -2.3115177e-07 ...  6.5364547e-05
  1.2803808e-05  5.2443934e-06]",left
"[2.7266260e-05 5.8617967e-04 1.2972580e-03 ... 4.0461286e-04 2.2303320e-04
 1.8502097e-04]",left
"[-0.00163847 -0.00146946 -0.00076843 ...  0.00376301  0.00536898
  0.00554691]",left
"[-0.00334968 -0.00734774 -0.00733786 ...  0.00106678 -0.00037852
 -0.00131186]",left
"[5.8443041e-04 1.7968102e-03 1.1595202e-03 ... 3.6952872e-04 3.4418830e-04
 2.9596444e-05]",left
[0.00193272 0.00250185 0.00234666 ... 0.00960984 0.00897595 0.00820268],left
"[-5.1847968e-05 -4.2822943e-05 -1.3970004e-05 ... -1.6391875e-03
  1.4395807e-03  6.8651973e-03]",left
"[-0.00236504 -0.00618073 -0.00593238 ... -0.00185173 -0.00119721
 -0.00155483]",left
"[-3.71892420e-05 -1.05844905e-04 -2.14628366e-04 ...  4.91706778e-05
  1.73949229e-03  7.60355615e-04]",left
"[-0.00496276 -0.00656103 -0.005884   ... -0.01634933 -0.01635982
 -0.01623792]",left
"[ 2.4116642e-04  3.9418382e-04  4.5306655e-04 ... -3.3816765e-04
 -1.9615509e-04 -9.7211996e-05]",left
"[ 2.9443470e-05 -7.0868620e-05  5.5906930e-06 ... -2.1330130e-04
 -1.7030284e-04 -1.3243718e-04]",left
"[-0.00016844 -0.00026127 -0.00038835 ... -0.00019436  0.00058733
  0.00140519]",left
[0.00075123 0.00230353 0.00329157 ... 0.00062486 0.0007336  0.00064137],left
"[ 0.00435955  0.00862658  0.01148887 ...  0.00392899  0.00146536
 -0.00080993]",left
[0.00062444 0.0014514  0.00176715 ... 0.00145875 0.00114105 0.00084691],left
"[-5.82094763e-05 -1.49628759e-04 -1.32835878e-04 ...  1.17747157e-04
  1.16216834e-04  1.11094676e-04]",left
"[ 5.1161903e-03  7.0124245e-03  5.7507223e-03 ...  4.2716120e-04
 -9.0679263e-05 -2.5597806e-04]",left
"[-0.00115983 -0.00314447 -0.00492693 ...  0.00321719  0.00356086
  0.00278554]",left
"[-0.00658761 -0.00883374 -0.01018206 ...  0.013461    0.01484702
  0.0118058 ]",left
"[ 0.00567611 -0.00307046 -0.02016316 ... -0.01306019 -0.01372278
 -0.00592203]",left
[0.00162793 0.00221675 0.00196166 ... 0.00022038 0.00017399 0.00015998],left
[0.006608   0.0082659  0.00674298 ... 0.00711994 0.00728529 0.00806618],left
"[-0.00145399 -0.00169275 -0.00157602 ...  0.00090672  0.00014224
 -0.00023144]",left
"[-0.00094557 -0.00218963 -0.00260409 ...  0.00075324  0.00105875
  0.00062168]",left
"[ 0.01017911  0.01302412  0.01132247 ...  0.00195008 -0.00219419
  0.00193271]",left
"[ 2.7696186e-04  4.4839596e-04 -2.7414015e-04 ...  6.2719795e-05
 -4.3112694e-05 -5.0281502e-05]",left
"[-0.02218618 -0.02835161 -0.02396619 ... -0.0446818  -0.04439633
 -0.04404321]",left
"[ 0.001655    0.00200283  0.00191625 ... -0.00075368 -0.0007815
 -0.00098802]",left
"[-3.8878454e-05 -3.6394474e-04 -9.3014335e-04 ...  3.0001395e-04
  2.5510808e-04  3.3292914e-04]",left
"[-0.00069447 -0.00128992 -0.00150079 ... -0.0003258  -0.00021717
 -0.00033097]",left
[0.00511647 0.00860032 0.01162292 ... 0.00601588 0.00626665 0.00693739],left
"[ 2.1051306e-04  2.8782751e-04  2.6213215e-04 ... -5.0365958e-05
 -3.8554848e-04 -1.3694503e-04]",left
"[ 3.9701894e-04  1.8060675e-03  5.3677568e-03 ... -1.3702615e-04
 -8.9594105e-05 -2.4213841e-05]",left
"[-0.00080738 -0.00116867 -0.00219585 ... -0.00246213 -0.00722704
 -0.0067563 ]",left
"[-0.00232944 -0.00383517 -0.00356749 ...  0.00373817  0.00452233
  0.00078522]",left
"[ 4.5564821e-06  2.8257826e-05 -3.5519643e-06 ... -6.4431100e-05
 -7.6797100e-05 -7.0736278e-05]",left
"[ 3.2751582e-04  7.8081770e-04  5.9759396e-04 ... -1.3452480e-04
 -1.0029623e-04  3.0289584e-05]",left
"[ 0.00441731  0.00642     0.0061211  ... -0.0008061  -0.0008302
 -0.00109543]",left
"[ 5.7091856e-05  7.5387099e-05 -3.5960948e-06 ... -1.1387354e-04
  5.1735545e-04  7.2598195e-05]",left
"[ 8.8079840e-05  1.5937134e-04  1.4447115e-04 ... -1.7126086e-03
 -1.4524924e-03 -1.0418659e-03]",left
"[-0.00073066  0.00562814 -0.00248593 ...  0.00674811  0.000954
 -0.00173149]",left
"[ 0.00075656  0.00128861  0.00144473 ...  0.00088685 -0.00065979
 -0.00046931]",left
"[ 0.00038744  0.00050705  0.0005237  ... -0.00085316 -0.00011895
  0.00041734]",left
"[-7.6153286e-05  1.5549914e-03  3.6484017e-03 ...  3.1370984e-03
  6.5348446e-03  4.9106102e-03]",left
"[-0.00194522 -0.00380098 -0.00437784 ... -0.00126506  0.00123925
  0.00605038]",left
"[-0.00318437 -0.0042152  -0.00377585 ...  0.00402148  0.00383982
  0.00353693]",left
[0.00302839 0.01240272 0.01190232 ... 0.00551104 0.00764188 0.00614804],left
"[-0.00077378 -0.00371878 -0.00493096 ...  0.01571386  0.01635391
  0.01654152]",left
"[-5.4650729e-05 -9.1440845e-05 -9.2778209e-05 ... -3.5204950e-05
 -2.7850625e-05 -1.5234360e-05]",left
[0.0010562  0.00767065 0.00177628 ... 0.01072858 0.0104825  0.00997199],left
"[ 0.00623542  0.00825682  0.00691897 ... -0.00941496 -0.00591812
 -0.00402063]",left
"[ 0.00035077  0.00096743  0.00025996 ...  0.00014722 -0.00036721
 -0.00094608]",left
"[ 1.3132505e-04  1.5456422e-04  2.5797839e-04 ...  2.9857573e-04
  1.6312784e-04 -2.6792459e-05]",left
"[-0.00019123 -0.00055762 -0.00064983 ...  0.00104436  0.00095118
  0.00101814]",left
"[7.2296418e-04 1.1780821e-03 1.3517640e-03 ... 4.3561042e-05 1.9803856e-04
 4.8488102e-04]",left
"[-1.8936157e-04 -3.5217442e-04 -4.1903619e-04 ...  6.8913316e-05
 -5.7090328e-06 -5.3708145e-06]",left
"[ 0.0003232  -0.00027706 -0.00035711 ... -0.00026264  0.00072923
  0.00047805]",left
"[ 3.6830001e-04  6.0414162e-04  3.9479058e-04 ... -6.3573598e-04
  2.9383629e-05  2.0570827e-03]",left
"[ 0.00158528  0.00278908  0.00251261 ...  0.00356776  0.00140003
 -0.00700985]",left
"[-3.7267900e-04  2.4731416e-06  1.2346331e-03 ...  6.1673038e-03
  1.4857580e-02 -2.7992334e-03]",left
"[-0.00052046 -0.00069475 -0.00079885 ... -0.0004971  -0.00182762
 -0.00141848]",left
"[-0.00096196 -0.00098734 -0.00080648 ... -0.00116188  0.0001527
  0.00099273]",left
"[-1.7189374e-04  6.5633911e-04 -4.2484858e-04 ... -7.2678842e-05
 -2.0374131e-04  9.2542527e-05]",left
"[ 0.000247    0.00066913  0.00102957 ... -0.00093348 -0.00113041
 -0.00070411]",left
"[7.9310237e-05 1.8926276e-04 5.3704187e-04 ... 3.7736996e-04 4.7102076e-04
 3.8711409e-04]",left
"[3.1102954e-05 6.1650411e-05 3.8160186e-05 ... 1.5041666e-04 1.7998475e-04
 2.0915193e-04]",left
"[4.0802013e-04 4.9719575e-04 4.8979511e-04 ... 1.5735051e-05 1.8566407e-05
 9.1351412e-06]",left
"[ 0.00386509 -0.00851867  0.0011267  ...  0.00047709  0.00618528
  0.01010653]",left
"[-0.02916473 -0.04662074 -0.04691382 ...  0.02228135  0.02348611
  0.0188054 ]",left
[0.00143078 0.00354268 0.00403698 ... 0.00017319 0.00024056 0.00031132],left
"[-0.02655051 -0.05324812 -0.05200389 ... -0.01105448 -0.00510857
 -0.00055894]",left
"[ 3.6689322e-04 -3.7189032e-04 -1.1341268e-03 ... -4.7875503e-05
 -1.3886434e-04 -2.8722311e-04]",left
"[ 0.00071072  0.00196931  0.00365814 ...  0.00126499 -0.00010027
 -0.00084319]",left
[0.07149614 0.10511328 0.11249145 ... 0.06393654 0.08022963 0.0783046 ],left
"[ 1.9367053e-06  2.7538550e-05  1.4205296e-05 ... -8.8524954e-05
 -8.3889543e-05 -4.2021031e-05]",left
"[-1.3259077e-04 -3.2023090e-04 -5.4445583e-04 ... -1.2214752e-04
 -1.1280595e-05  1.5329231e-04]",left
"[-4.09550048e-05  2.04527314e-04  3.76000331e-04 ... -1.20616874e-04
 -1.04083621e-04  3.29690301e-05]",left
"[-0.00048916 -0.00127788 -0.00155612 ...  0.00092986  0.01242684
  0.00765629]",left
"[ 3.0989358e-05  9.0290785e-05  2.8112352e-05 ... -1.4387071e-05
 -2.8971226e-05 -3.8397564e-05]",left
"[-2.7959106e-05  3.6820777e-05  1.1174621e-04 ...  5.3620533e-05
  4.0951425e-05  1.2436927e-05]",left
"[4.6216286e-05 1.0433054e-04 8.1612845e-05 ... 3.0141373e-04 4.7109186e-04
 4.0627443e-04]",left
"[-0.04353043 -0.05954503 -0.05681644 ...  0.07505605  0.05273206
  0.02333258]",left
"[-0.00122523 -0.00170697 -0.00135375 ...  0.0013692   0.00139033
  0.00115889]",left
"[-0.00367477 -0.00558227 -0.00598372 ... -0.00185212 -0.0019119
 -0.00171689]",left
"[ 0.00495537  0.00995718  0.01233728 ... -0.00687383 -0.00843863
 -0.00913086]",left
[0.00316832 0.00843456 0.0069554  ... 0.00796944 0.00553934 0.00506342],left
[0.00061317 0.00102147 0.00081577 ... 0.00021941 0.00026779 0.00039934],left
"[-0.00209855 -0.00357425 -0.00359799 ... -0.00048625 -0.00045966
 -0.00115473]",left
[0.00433055 0.00594379 0.00592781 ... 0.00355788 0.00414615 0.00432458],left
"[-3.2342672e-05 -9.3495102e-05 -3.0312629e-05 ... -3.4663624e-06
 -7.7578488e-06  2.5687166e-05]",left
"[ 2.4278666e-05  3.5335644e-05  4.8807451e-06 ...  2.9787016e-05
  8.1570615e-06 -6.6028574e-06]",left
[0.00381138 0.00479115 0.00418825 ... 0.00281767 0.00240038 0.00265611],left
"[-0.00189197 -0.00351842 -0.00449809 ... -0.00236077 -0.00234939
 -0.00225352]",left
[0.00180357 0.0022462  0.00176871 ... 0.00168382 0.0017553  0.00141594],left
"[ 0.00071546  0.00104051  0.00097272 ... -0.00764809 -0.0076825
 -0.00772752]",left
[0.01296752 0.02280944 0.02071081 ... 0.00644708 0.00651738 0.00737916],left
"[ 0.00053666  0.0008135   0.00076205 ... -0.00021435 -0.00039204
 -0.0004425 ]",left
"[-5.0578161e-05 -2.3432920e-04 -2.8848203e-04 ...  3.2093056e-04
  1.4595273e-04 -2.4132390e-04]",left
[0.00035082 0.00040529 0.00015921 ... 0.0151551  0.01551252 0.00271392],left
"[-1.2331721e-04 -4.4877542e-04 -3.8972939e-04 ... -8.2085986e-05
 -2.0880115e-04 -1.6398907e-04]",left
[0.00025313 0.00054998 0.00067057 ... 0.0002238  0.00022684 0.00023054],left
[0.02815269 0.0368777  0.03144725 ... 0.01412095 0.01343197 0.01414001],left
"[ 0.00015814  0.00020603  0.00011623 ... -0.000402   -0.00038657
 -0.00044921]",left
"[-0.00160605 -0.00332756 -0.0053811  ...  0.00227217  0.00203812
  0.00250641]",left
[0.02767748 0.03552582 0.03022541 ... 0.0209061  0.02145762 0.02163   ],left
"[-2.1174961e-05  1.9307106e-04 -1.5989740e-04 ...  4.0030594e-05
  3.0213674e-05  2.7706168e-05]",left
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -8.0468584e-07
  3.5685082e-07  2.6641796e-06]",left
"[ 0.00276399  0.00382844  0.00359948 ... -0.00163746 -0.00159307
 -0.00147797]",left
"[-0.00635541 -0.00874023 -0.0082169  ...  0.00311356  0.00647075
  0.00927782]",left
[0.00076465 0.00091911 0.00086464 ... 0.00071532 0.00065356 0.00066402],left
"[-2.04448552e-05  3.98275079e-05  1.04412145e-04 ...  2.09331163e-04
  2.40905123e-04  2.33737635e-04]",left
"[ 6.8096551e-06  2.9813764e-05  6.9603229e-06 ... -7.0632697e-05
 -1.2054704e-04 -1.8361758e-04]",left
[0.00116874 0.00163058 0.00152208 ... 0.00059716 0.00037184 0.00025218],left
"[ 3.1283760e-04  1.0264954e-03  1.5305448e-03 ... -1.8628918e-04
 -2.2593347e-04  4.8044007e-05]",left
"[ 6.6878187e-07  2.3535205e-05  5.5344175e-05 ... -6.4585001e-06
 -3.4440054e-05 -3.8996197e-05]",left
"[ 0.00163611  0.00248178  0.00224125 ... -0.00563433 -0.0021678
 -0.00172446]",left
"[-1.07084576e-04 -1.59929885e-04 -1.57422677e-04 ... -2.29882826e-05
 -1.57444629e-05 -4.19609387e-05]",left
"[ 5.4942207e-05  2.2629347e-05 -4.8139045e-05 ... -2.3494360e-05
 -3.0746694e-05 -1.5537356e-04]",left
"[2.6856005e-05 7.5023750e-06 5.3632461e-06 ... 2.0168298e-04 1.9967882e-04
 2.5321209e-04]",left
"[-5.0341703e-05 -1.2905351e-04 -2.6814156e-04 ...  1.0800871e-04
  4.6532372e-05  2.5848029e-05]",left
[0.00040755 0.0007376  0.00087374 ... 0.0006351  0.0004573  0.00044774],left
"[-0.02864318 -0.03674076 -0.03363538 ... -0.00493367  0.01849997
  0.02536557]",left
[0.00068478 0.00074921 0.00084689 ... 0.0027306  0.00283244 0.00298535],left
"[-0.00037388 -0.00032949 -0.00023507 ...  0.00047499  0.00040679
  0.00021445]",left
"[-0.00147045 -0.00226364 -0.00162516 ... -0.00047141 -0.00037965
  0.00029446]",left
[0.00021667 0.00045162 0.00063959 ... 0.00011474 0.0005421  0.00059529],left
"[-0.00682214 -0.01198814 -0.01190681 ...  0.00503052  0.00509382
  0.00412009]",left
"[ 0.00035933  0.00049199  0.00052625 ... -0.00271178 -0.00319228
 -0.00343486]",left
"[-1.9581470e-04  2.3965834e-04  2.7910908e-04 ... -1.4132733e-04
 -2.9847302e-05  8.8819004e-05]",left
"[-4.9732167e-05 -4.1771029e-05 -2.2682920e-05 ... -1.6103873e-04
 -1.7604174e-04 -1.0629410e-04]",left
"[-0.00165692 -0.0079462  -0.00915807 ... -0.00245348 -0.0036043
 -0.00412293]",left
"[-0.00023675 -0.00272229 -0.00603008 ... -0.00101053  0.00071518
  0.00060131]",left
[0.00242994 0.00380236 0.00243003 ... 0.00076387 0.00544862 0.00488876],left
"[ 0.00029466  0.00052435  0.0006985  ... -0.00061914 -0.00039261
 -0.0001484 ]",left
"[-0.01929079 -0.03292388 -0.03770416 ...  0.00852853  0.00745926
  0.00919341]",left
[0.00192535 0.00350444 0.00370094 ... 0.00448679 0.00262174 0.00426891],left
"[-0.00030817 -0.00025318 -0.00012036 ... -0.01083302 -0.01050426
 -0.01023953]",left
"[-7.4337807e-04 -1.6877690e-03  1.1656771e-04 ... -1.6797117e-04
  8.1639671e-05 -4.4370335e-04]",left
"[-0.00011503  0.00117052  0.00145909 ... -0.00027432 -0.00048946
 -0.00113751]",left
"[-0.00042148 -0.00095012 -0.00109744 ...  0.00034309  0.00046858
  0.00056542]",left
"[-0.00153427 -0.001918   -0.00160125 ... -0.00310463 -0.00288288
 -0.00269416]",left
"[-0.00042575 -0.00065364 -0.00142937 ... -0.00043565 -0.00026639
  0.00030107]",left
"[ 3.2763873e-04  5.2525348e-04  5.1125302e-04 ... -1.4260985e-04
 -5.3710708e-05  7.3743991e-05]",left
"[-0.00018347 -0.00058715 -0.00057347 ... -0.00051182 -0.00060637
 -0.00060152]",left
"[-0.00167057 -0.00191049 -0.00138475 ... -0.00104168 -0.00129092
 -0.00111581]",left
"[-0.00297697 -0.00404535 -0.00352338 ...  0.00435324  0.00727626
  0.00935191]",left
"[ 3.6057390e-04  5.2216984e-03  5.3192354e-03 ...  1.1743025e-03
 -3.8034868e-05  5.3537893e-05]",left
"[ 0.00112899 -0.0009237  -0.00288611 ...  0.00013953  0.00496444
  0.00370005]",left
"[-3.8584601e-04 -1.1222380e-03  1.5275288e-04 ... -7.7312288e-04
 -2.4078586e-04  6.8792637e-05]",left
"[-0.00214711 -0.02393905 -0.03606388 ... -0.00263855 -0.00340353
 -0.00458613]",left
[0.03364309 0.04323094 0.03725568 ... 0.00907674 0.0088915  0.00942126],left
"[ 1.3518891e-04  2.1919742e-04  2.6945531e-04 ... -2.4525989e-05
 -1.7978000e-05  1.5344165e-05]",left
[0.00383348 0.00794183 0.0118934  ... 0.01330405 0.01276442 0.01257441],left
"[-0.00042635 -0.0013685  -0.00256302 ... -0.00132928 -0.00103948
 -0.00062998]",left
[0.00084426 0.00175969 0.00220997 ... 0.00091345 0.00089722 0.00100223],left
"[ 0.00703738  0.00964793  0.00973903 ... -0.00168637 -0.00162461
 -0.00173042]",left
"[-2.8152967e-06 -2.1872074e-06 -8.7079695e-07 ...  2.7227575e-06
  1.1194912e-05  1.5943751e-05]",left
[0.00182941 0.00231772 0.00189861 ... 0.00069395 0.00087579 0.00074138],left
"[-0.00056573 -0.00127544 -0.0011816  ...  0.00050735  0.00196857
  0.00126883]",left
"[-0.00163194 -0.00236967 -0.00202443 ...  0.00013524  0.00036493
  0.0001836 ]",left
"[ 1.1166988e-14 -8.6467820e-14  1.2463010e-13 ... -6.0524265e-03
 -3.8470598e-03  2.5819931e-03]",left
"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.7748747e-06
 -3.3408708e-03  3.8942210e-03]",left
"[ 7.9866091e-05  1.2019586e-04  1.2190416e-04 ...  2.6360099e-04
 -9.3421797e-05 -8.1513899e-05]",left
"[-0.00031039 -0.00039155 -0.00037574 ... -0.00061096 -0.00052016
 -0.00047051]",left
"[ 0.00245636  0.00585819  0.01041952 ... -0.0049889  -0.00400698
 -0.0017363 ]",left
"[-0.00129012 -0.00221935 -0.00264727 ... -0.00266563 -0.00283199
 -0.00291048]",left
"[-0.01590659  0.00813241  0.0381981  ...  0.00138418 -0.0137513
 -0.01682761]",left
[0.00035744 0.00064951 0.00034741 ... 0.00030013 0.00033746 0.00034033],left
[0.00058184 0.00113533 0.00103698 ... 0.00237289 0.00227069 0.00229123],left
"[ 6.9506328e-05 -1.0070403e-03 -1.7663175e-03 ...  4.2501674e-04
  3.6450013e-04  9.1859314e-05]",left
"[-1.4521200e-05  7.7304154e-05  2.6515780e-05 ...  2.6146488e-04
  2.6479978e-04  2.2474404e-04]",left
"[5.3092626e-06 5.5349563e-05 3.0333980e-05 ... 5.7312004e-06 7.9369256e-06
 5.0163248e-06]",left
"[-1.8281839e-04 -2.7757575e-04 -3.1985948e-04 ... -2.9683864e-04
 -2.0242698e-04 -9.2965434e-05]",left
"[-0.01193995 -0.01831834 -0.01531329 ... -0.00653608 -0.01291699
 -0.0006407 ]",left
"[-0.00075594 -0.00090525 -0.00051841 ... -0.00060625 -0.0006711
 -0.0006291 ]",left
[0.00054516 0.00057167 0.00039552 ... 0.00043925 0.00042179 0.00035149],left
"[-0.00116811 -0.00177343 -0.00177728 ... -0.00097568 -0.00090616
 -0.00117177]",left
"[-0.00511815 -0.00590476 -0.00347436 ...  0.00181415  0.00205304
  0.00126126]",left
"[ 0.00164183  0.00400995  0.00502085 ...  0.00030681 -0.00117675
 -0.00180936]",left
[0.0001059  0.00018    0.00022497 ... 0.00015656 0.00021289 0.00018311],left
"[ 7.5455435e-05  4.6357796e-05  2.9341365e-05 ... -1.4002898e-03
 -1.5618324e-03 -1.1951722e-03]",left
"[-0.00010932 -0.00034269 -0.00052504 ...  0.00078116  0.00073294
  0.0011039 ]",left
"[-0.00210196 -0.00497287 -0.00389099 ...  0.00254542  0.00010657
 -0.00014194]",left
"[-1.1719079e-04 -2.9591005e-04 -2.1597992e-04 ... -1.5521461e-04
 -7.8847450e-05 -7.8969082e-05]",left
[0.00626968 0.00775199 0.00653569 ... 0.00546094 0.00580442 0.00462873],left
"[ 0.000594   -0.00363912 -0.00631152 ...  0.00367235  0.00396406
  0.00493516]",left
[0.00566033 0.00713995 0.00679407 ... 0.00702756 0.00688689 0.00681326],left
"[ 2.06665063e-04  2.39789777e-04  2.00955285e-04 ... -5.75169543e-05
 -1.13690749e-05  1.09499735e-04]",left
"[ 0.00034917  0.00039252  0.00017772 ... -0.00055698 -0.00114713
 -0.0011661 ]",left
"[ 2.1212676e-05  1.2660872e-02  2.9589571e-02 ... -1.4842241e-02
 -2.1268101e-02 -1.8956374e-02]",left
"[-3.4823945e-06 -5.3243599e-05 -2.5916426e-05 ...  1.5051484e-04
  1.7478612e-04  1.8374334e-04]",left
[0.00886185 0.01193584 0.01041753 ... 0.00730656 0.00976513 0.01547102],left
"[-4.3194356e-07  3.1330319e-07 -1.2144479e-05 ...  3.5558283e-04
  2.8207304e-04  2.0439886e-04]",left
[0.00011188 0.00018859 0.00018057 ... 0.00012993 0.00013979 0.00014746],left
"[-1.4474802e-03 -2.6984126e-03 -2.5480129e-03 ...  4.3963850e-05
  5.9701051e-05  1.0385490e-04]",left
"[ 1.7201381e-05  3.8080681e-05  2.3355082e-04 ... -3.8545018e-05
 -1.3700310e-04 -1.4270084e-04]",left
"[-0.00273542 -0.00530218 -0.00384784 ... -0.00058204 -0.0007881
 -0.00153019]",left
"[-0.0004743  -0.00217819 -0.00385252 ...  0.00159121  0.00150852
  0.0006285 ]",left
"[-2.5304147e-05 -2.7603735e-05 -6.5255379e-05 ...  4.0226067e-05
  3.2019685e-05  1.3051262e-05]",left
"[-5.1622192e-05 -6.3446772e-05 -7.5510863e-05 ... -1.0740087e-05
  3.7976440e-06 -9.5009191e-06]",left
"[-0.00426767 -0.0065356  -0.00651127 ... -0.00714105 -0.00666607
 -0.00642878]",left
"[ 0.00597376  0.00772039  0.00672112 ... -0.00438652 -0.00434392
 -0.00430631]",left
"[-1.1865234e-06  1.9328663e-05  7.5184878e-05 ... -8.8545137e-05
 -2.8445336e-04 -1.2887451e-04]",left
"[-0.04606363 -0.06685079 -0.01853837 ...  0.00947382  0.00019645
 -0.00115574]",left
"[ 0.00249813  0.00436692  0.00427681 ... -0.00547503 -0.00805095
  0.00056209]",left
"[ 0.00021722  0.00038977  0.00057655 ... -0.00054709 -0.00059614
 -0.00049964]",left
"[-0.00094964 -0.00215258 -0.00120093 ... -0.00077062 -0.00077815
 -0.0008387 ]",left
[0.00270535 0.00489004 0.00443074 ... 0.00201702 0.00209761 0.00156257],left
"[-7.76861416e-05 -1.23080565e-04 -1.19296295e-04 ...  1.65531892e-04
  1.78351373e-04  2.05204065e-04]",left
"[-2.9852417e-05 -8.5756517e-05 -9.9154226e-05 ... -1.0266999e-03
 -9.8188245e-04 -8.4538752e-04]",left
"[ 8.7747921e-04  1.5653337e-03  2.1603520e-03 ...  4.6282751e-04
  1.0777583e-04 -4.4438999e-05]",left
"[ 9.9098880e-04  4.1804933e-03  3.4035686e-03 ...  6.7610708e-05
  4.3065094e-05 -3.2765562e-05]",left
"[ 0.00480919  0.00844809  0.00861472 ... -0.00099098 -0.00022942
 -0.00117596]",left
[0.00416359 0.00548618 0.00478026 ... 0.00124598 0.00134325 0.00231955],left
"[-5.2042215e-05 -4.0820079e-05 -2.1653006e-05 ... -8.0931385e-04
 -2.0778249e-04  2.5156778e-04]",left
"[ 1.1123993e-09 -9.5443786e-10  3.1924929e-10 ... -4.2139791e-04
 -4.1781372e-04 -4.2355922e-04]",left
